"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2014";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2015";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";27
"2015";"Državljani RS";"Moški";"Rudarstvo";2
"2015";"Državljani RS";"Moški";"Predelovalne dejavnosti";310
"2015";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";16
"2015";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";11
"2015";"Državljani RS";"Moški";"Gradbeništvo";220
"2015";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";164
"2015";"Državljani RS";"Moški";"Promet in skladišèenje";103
"2015";"Državljani RS";"Moški";"Gostinstvo";89
"2015";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";123
"2015";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";21
"2015";"Državljani RS";"Moški";"Poslovanje z nepremièninami";7
"2015";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";128
"2015";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";58
"2015";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";78
"2015";"Državljani RS";"Moški";"Izobraževanje";55
"2015";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";69
"2015";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";24
"2015";"Državljani RS";"Moški";"Druge dejavnosti";18
"2015";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2015";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2015";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";33
"2015";"Državljani RS";"Ženske";"Rudarstvo";0
"2015";"Državljani RS";"Ženske";"Predelovalne dejavnosti";133
"2015";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";7
"2015";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";7
"2015";"Državljani RS";"Ženske";"Gradbeništvo";23
"2015";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";154
"2015";"Državljani RS";"Ženske";"Promet in skladišèenje";24
"2015";"Državljani RS";"Ženske";"Gostinstvo";60
