"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"SPOL";"SELITVE";Meddržavne selitve
"1999";"AZIJA";"Ženske";"Priseljeni iz tujine";12
"1999";"JUŽNA AMERIKA";"Moški";"Priseljeni iz tujine";13
"1999";"JUŽNA AMERIKA";"Ženske";"Priseljeni iz tujine";0
"1999";"SEVERNA IN SREDNJA AMERIKA";"Moški";"Priseljeni iz tujine";8
"1999";"SEVERNA IN SREDNJA AMERIKA";"Ženske";"Priseljeni iz tujine";0
"1999";"  Kanada";"Moški";"Priseljeni iz tujine";1
"1999";"  Kanada";"Ženske";"Priseljeni iz tujine";0
"1999";"  Združene države";"Moški";"Priseljeni iz tujine";7
"1999";"  Združene države";"Ženske";"Priseljeni iz tujine";0
"1999";"  Druge države Severne in Srednje Amerike";"Moški";"Priseljeni iz tujine";0
"1999";"  Druge države Severne in Srednje Amerike";"Ženske";"Priseljeni iz tujine";0
"1999";"AVSTRALIJA IN OCEANIJA";"Moški";"Priseljeni iz tujine";2
"1999";"AVSTRALIJA IN OCEANIJA";"Ženske";"Priseljeni iz tujine";0
"1999";"Neznana država";"Moški";"Priseljeni iz tujine";19
"1999";"Neznana država";"Ženske";"Priseljeni iz tujine";4
"2000";"EVROPA";"Moški";"Priseljeni iz tujine";4303
"2000";"EVROPA";"Ženske";"Priseljeni iz tujine";1705
"2000";"  Albanija";"Moški";"Priseljeni iz tujine";2
"2000";"  Albanija";"Ženske";"Priseljeni iz tujine";2
"2000";"  Avstrija";"Moški";"Priseljeni iz tujine";17
"2000";"  Avstrija";"Ženske";"Priseljeni iz tujine";8
"2000";"  Belgija";"Moški";"Priseljeni iz tujine";1
"2000";"  Belgija";"Ženske";"Priseljeni iz tujine";1
"2000";"  Bolgarija";"Moški";"Priseljeni iz tujine";8
"2000";"  Bolgarija";"Ženske";"Priseljeni iz tujine";4
"2000";"  Bosna in Hercegovina";"Moški";"Priseljeni iz tujine";1726
"2000";"  Bosna in Hercegovina";"Ženske";"Priseljeni iz tujine";290
"2000";"  Èeška republika";"Moški";"Priseljeni iz tujine";8
"2000";"  Èeška republika";"Ženske";"Priseljeni iz tujine";12
"2000";"  Èrna gora";"Moški";"Priseljeni iz tujine";...
"2000";"  Èrna gora";"Ženske";"Priseljeni iz tujine";...
"2000";"  Danska";"Moški";"Priseljeni iz tujine";0
"2000";"  Danska";"Ženske";"Priseljeni iz tujine";0
"2000";"  Francija";"Moški";"Priseljeni iz tujine";12
"2000";"  Francija";"Ženske";"Priseljeni iz tujine";16
"2000";"  Hrvaška";"Moški";"Priseljeni iz tujine";625
"2000";"  Hrvaška";"Ženske";"Priseljeni iz tujine";281
"2000";"  Italija";"Moški";"Priseljeni iz tujine";19
"2000";"  Italija";"Ženske";"Priseljeni iz tujine";16
"2000";"  Kosovo";"Moški";"Priseljeni iz tujine";...
"2000";"  Kosovo";"Ženske";"Priseljeni iz tujine";...
"2000";"  Madžarska";"Moški";"Priseljeni iz tujine";5
"2000";"  Madžarska";"Ženske";"Priseljeni iz tujine";2
"2000";"  Nemèija";"Moški";"Priseljeni iz tujine";25
"2000";"  Nemèija";"Ženske";"Priseljeni iz tujine";23
"2000";"  Nizozemska";"Moški";"Priseljeni iz tujine";3
"2000";"  Nizozemska";"Ženske";"Priseljeni iz tujine";2
"2000";"  Poljska";"Moški";"Priseljeni iz tujine";2
"2000";"  Poljska";"Ženske";"Priseljeni iz tujine";4
"2000";"  Romunija";"Moški";"Priseljeni iz tujine";6
"2000";"  Romunija";"Ženske";"Priseljeni iz tujine";19
"2000";"  Ruska federacija";"Moški";"Priseljeni iz tujine";16
"2000";"  Ruska federacija";"Ženske";"Priseljeni iz tujine";42
"2000";"  Severna Makedonija";"Moški";"Priseljeni iz tujine";725
"2000";"  Severna Makedonija";"Ženske";"Priseljeni iz tujine";151
"2000";"  Slovenija";"Moški";"Priseljeni iz tujine";509
"2000";"  Slovenija";"Ženske";"Priseljeni iz tujine";426
"2000";"  Srbija";"Moški";"Priseljeni iz tujine";405
"2000";"  Srbija";"Ženske";"Priseljeni iz tujine";255
"2000";"  Švedska";"Moški";"Priseljeni iz tujine";4
"2000";"  Švedska";"Ženske";"Priseljeni iz tujine";1
"2000";"  Švica";"Moški";"Priseljeni iz tujine";7
"2000";"  Švica";"Ženske";"Priseljeni iz tujine";3
"2000";"  Ukrajina";"Moški";"Priseljeni iz tujine";84
"2000";"  Ukrajina";"Ženske";"Priseljeni iz tujine";108
"2000";"  Združeno kraljestvo";"Moški";"Priseljeni iz tujine";13
"2000";"  Združeno kraljestvo";"Ženske";"Priseljeni iz tujine";7
"2000";"  Druge države Evrope";"Moški";"Priseljeni iz tujine";81
"2000";"  Druge države Evrope";"Ženske";"Priseljeni iz tujine";32
"2000";"AFRIKA";"Moški";"Priseljeni iz tujine";7
"2000";"AFRIKA";"Ženske";"Priseljeni iz tujine";1
"2000";"AZIJA";"Moški";"Priseljeni iz tujine";40
"2000";"AZIJA";"Ženske";"Priseljeni iz tujine";44
"2000";"JUŽNA AMERIKA";"Moški";"Priseljeni iz tujine";4
"2000";"JUŽNA AMERIKA";"Ženske";"Priseljeni iz tujine";11
"2000";"SEVERNA IN SREDNJA AMERIKA";"Moški";"Priseljeni iz tujine";27
"2000";"SEVERNA IN SREDNJA AMERIKA";"Ženske";"Priseljeni iz tujine";21
"2000";"  Kanada";"Moški";"Priseljeni iz tujine";2
"2000";"  Kanada";"Ženske";"Priseljeni iz tujine";3
"2000";"  Združene države";"Moški";"Priseljeni iz tujine";24
"2000";"  Združene države";"Ženske";"Priseljeni iz tujine";15
"2000";"  Druge države Severne in Srednje Amerike";"Moški";"Priseljeni iz tujine";1
"2000";"  Druge države Severne in Srednje Amerike";"Ženske";"Priseljeni iz tujine";3
"2000";"AVSTRALIJA IN OCEANIJA";"Moški";"Priseljeni iz tujine";7
"2000";"AVSTRALIJA IN OCEANIJA";"Ženske";"Priseljeni iz tujine";5
"2000";"Neznana država";"Moški";"Priseljeni iz tujine";9
"2000";"Neznana država";"Ženske";"Priseljeni iz tujine";1
"2001";"EVROPA";"Moški";"Priseljeni iz tujine";5141
"2001";"EVROPA";"Ženske";"Priseljeni iz tujine";2318
"2001";"  Albanija";"Moški";"Priseljeni iz tujine";14
"2001";"  Albanija";"Ženske";"Priseljeni iz tujine";6
"2001";"  Avstrija";"Moški";"Priseljeni iz tujine";27
"2001";"  Avstrija";"Ženske";"Priseljeni iz tujine";21
"2001";"  Belgija";"Moški";"Priseljeni iz tujine";5
"2001";"  Belgija";"Ženske";"Priseljeni iz tujine";6
"2001";"  Bolgarija";"Moški";"Priseljeni iz tujine";6
"2001";"  Bolgarija";"Ženske";"Priseljeni iz tujine";6
"2001";"  Bosna in Hercegovina";"Moški";"Priseljeni iz tujine";2008
"2001";"  Bosna in Hercegovina";"Ženske";"Priseljeni iz tujine";352
"2001";"  Èeška republika";"Moški";"Priseljeni iz tujine";7
"2001";"  Èeška republika";"Ženske";"Priseljeni iz tujine";21
"2001";"  Èrna gora";"Moški";"Priseljeni iz tujine";...
"2001";"  Èrna gora";"Ženske";"Priseljeni iz tujine";...
"2001";"  Danska";"Moški";"Priseljeni iz tujine";0
"2001";"  Danska";"Ženske";"Priseljeni iz tujine";0
"2001";"  Francija";"Moški";"Priseljeni iz tujine";15
"2001";"  Francija";"Ženske";"Priseljeni iz tujine";9
"2001";"  Hrvaška";"Moški";"Priseljeni iz tujine";744
"2001";"  Hrvaška";"Ženske";"Priseljeni iz tujine";358
"2001";"  Italija";"Moški";"Priseljeni iz tujine";60
"2001";"  Italija";"Ženske";"Priseljeni iz tujine";30
"2001";"  Kosovo";"Moški";"Priseljeni iz tujine";...
"2001";"  Kosovo";"Ženske";"Priseljeni iz tujine";...
"2001";"  Madžarska";"Moški";"Priseljeni iz tujine";15
"2001";"  Madžarska";"Ženske";"Priseljeni iz tujine";8
"2001";"  Nemèija";"Moški";"Priseljeni iz tujine";42
"2001";"  Nemèija";"Ženske";"Priseljeni iz tujine";36
"2001";"  Nizozemska";"Moški";"Priseljeni iz tujine";13
"2001";"  Nizozemska";"Ženske";"Priseljeni iz tujine";9
"2001";"  Poljska";"Moški";"Priseljeni iz tujine";33
"2001";"  Poljska";"Ženske";"Priseljeni iz tujine";11
"2001";"  Romunija";"Moški";"Priseljeni iz tujine";33
"2001";"  Romunija";"Ženske";"Priseljeni iz tujine";20
"2001";"  Ruska federacija";"Moški";"Priseljeni iz tujine";52
"2001";"  Ruska federacija";"Ženske";"Priseljeni iz tujine";79
"2001";"  Severna Makedonija";"Moški";"Priseljeni iz tujine";720
"2001";"  Severna Makedonija";"Ženske";"Priseljeni iz tujine";329
"2001";"  Slovenija";"Moški";"Priseljeni iz tujine";547
"2001";"  Slovenija";"Ženske";"Priseljeni iz tujine";483
"2001";"  Srbija";"Moški";"Priseljeni iz tujine";579
"2001";"  Srbija";"Ženske";"Priseljeni iz tujine";301
