"Priseljeni tujci po namenu priselitve in državi državljanstva, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"NAMEN PRISELITVE";Priseljeni tujci
"2008";"Kosovo";"Študij";5
"2008";"Kosovo";"Drugo";11
"2008";"Kosovo";"Neznano";0
"2008";"Druge evropske države";"Zaposlitev";2204
"2008";"Druge evropske države";"Sezonsko delo";371
"2008";"Druge evropske države";"Združitev z družino";1200
"2008";"Druge evropske države";"Študij";97
"2008";"Druge evropske države";"Drugo";47
"2008";"Druge evropske države";"Neznano";2
"2008";"Neevropske države";"Zaposlitev";341
"2008";"Neevropske države";"Sezonsko delo";29
"2008";"Neevropske države";"Združitev z družino";263
"2008";"Neevropske države";"Študij";20
"2008";"Neevropske države";"Drugo";20
"2008";"Neevropske države";"Neznano";0
"2008";"Neznano";"Zaposlitev";25
"2008";"Neznano";"Sezonsko delo";15
"2008";"Neznano";"Združitev z družino";51
"2008";"Neznano";"Študij";0
"2008";"Neznano";"Drugo";7
"2008";"Neznano";"Neznano";0
"2009";"Države EU";"Zaposlitev";787
"2009";"Države EU";"Sezonsko delo";0
"2009";"Države EU";"Združitev z družino";260
"2009";"Države EU";"Študij";35
"2009";"Države EU";"Drugo";254
"2009";"Države EU";"Neznano";545
"2009";"... Hrvaška";"Zaposlitev";...
"2009";"... Hrvaška";"Sezonsko delo";...
"2009";"... Hrvaška";"Združitev z družino";...
"2009";"... Hrvaška";"Študij";...
"2009";"... Hrvaška";"Drugo";...
"2009";"... Hrvaška";"Neznano";...
"2009";"... druge države èlanice EU";"Zaposlitev";...
"2009";"... druge države èlanice EU";"Sezonsko delo";...
"2009";"... druge države èlanice EU";"Združitev z družino";...
"2009";"... druge države èlanice EU";"Študij";...
"2009";"... druge države èlanice EU";"Drugo";...
"2009";"... druge države èlanice EU";"Neznano";...
"2009";"Bosna in Hercegovina";"Zaposlitev";9477
"2009";"Bosna in Hercegovina";"Sezonsko delo";108
