"Priseljeni zaposleni prebivalci po dejavnosti, državljanstvu in spolu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Priseljeni zaposleni prebivalci
"2015";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";15
"2015";"Tuji državljani";"Moški";"Gradbeništvo";1508
"2015";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";287
"2015";"Tuji državljani";"Moški";"Promet in skladišèenje";1085
"2015";"Tuji državljani";"Moški";"Gostinstvo";158
"2015";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";58
"2015";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";10
"2015";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";26
"2015";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";308
"2015";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";351
"2015";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";0
"2015";"Tuji državljani";"Moški";"Izobraževanje";46
"2015";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";17
"2015";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";59
"2015";"Tuji državljani";"Moški";"Druge dejavnosti";28
"2015";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";9
"2015";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2015";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";8
"2015";"Tuji državljani";"Ženske";"Rudarstvo";0
"2015";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";124
"2015";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";3
"2015";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";1
"2015";"Tuji državljani";"Ženske";"Gradbeništvo";40
"2015";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";113
"2015";"Tuji državljani";"Ženske";"Promet in skladišèenje";17
"2015";"Tuji državljani";"Ženske";"Gostinstvo";132
"2015";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";18
"2015";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";2
"2015";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";22
"2015";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";114
"2015";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";283
"2015";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2015";"Tuji državljani";"Ženske";"Izobraževanje";28
"2015";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";34
"2015";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";16
"2015";"Tuji državljani";"Ženske";"Druge dejavnosti";36
"2015";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";5
"2015";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2016";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";42
"2016";"Tuji državljani";"Moški";"Rudarstvo";3
"2016";"Tuji državljani";"Moški";"Predelovalne dejavnosti";995
"2016";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";3
