"Prebivalstvo, staro 15 ali veè let, po izobrazbi, petletnih starostnih skupinah in spolu, statistiène regije, letno"

"LETO";"SPOL";"STAROST";"STATISTIÈNA REGIJA";"IZOBRAZBA";Prebivalstvo, staro 15 ali veè let
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Brez izobrazbe, nepopolna osnovnošolska";12235
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Osnovnošolska";92864
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Srednješolska - Skupaj";238021
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Nižja poklicna, srednja poklicna";85459
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Srednja strokovna, srednja splošna";152562
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Višješolska, visokošolska - Skupaj";112265
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Visokošolska 1. stopnje ipd.";39691
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Visokošolska 2. stopnje ipd.";59279
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Visokošolska 3. stopnje ipd.";13295
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Brez izobrazbe, nepopolna osnovnošolska";7107
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Osnovnošolska";38600
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Srednješolska - Skupaj";93894
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Nižja poklicna, srednja poklicna";39744
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Srednja strokovna, srednja splošna";54150
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Višješolska, visokošolska - Skupaj";33121
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Visokošolska 1. stopnje ipd.";14420
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Visokošolska 2. stopnje ipd.";16246
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Visokošolska 3. stopnje ipd.";2455
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Brez izobrazbe, nepopolna osnovnošolska";2446
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Osnovnošolska";11418
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Srednješolska - Skupaj";23267
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Nižja poklicna, srednja poklicna";10774
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Srednja strokovna, srednja splošna";12493
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Višješolska, visokošolska - Skupaj";7769
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Visokošolska 1. stopnje ipd.";3673
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Visokošolska 2. stopnje ipd.";3644
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Visokošolska 3. stopnje ipd.";452
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Brez izobrazbe, nepopolna osnovnošolska";4480
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Osnovnošolska";27401
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Srednješolska - Skupaj";52165
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Nižja poklicna, srednja poklicna";24017
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Srednja strokovna, srednja splošna";28148
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Višješolska, visokošolska - Skupaj";18494
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Visokošolska 1. stopnje ipd.";8229
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Visokošolska 2. stopnje ipd.";9242
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Visokošolska 3. stopnje ipd.";1023
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Brez izobrazbe, nepopolna osnovnošolska";4918
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Osnovnošolska";22198
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Srednješolska - Skupaj";51091
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Nižja poklicna, srednja poklicna";20907
