"Razpoložljivi dohodek gospodinjstev po starosti in spolu (EUR), Slovenija, letno"

"MERITVE";"STAROSTNE SKUPINE";"SPOL";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2012";"Dohodek po socialnih transferjih";8546
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2013";"Dohodek po socialnih transferjih";8516
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2014";"Dohodek po socialnih transferjih";8590
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2015";"Dohodek po socialnih transferjih";8839
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2016";"Dohodek po socialnih transferjih";8775
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2017";"Dohodek po socialnih transferjih";9093
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2018";"Dohodek po socialnih transferjih";9398
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2019";"Dohodek po socialnih transferjih";10258
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2008";"Dohodek po socialnih transferjih";7569
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2009";"Dohodek po socialnih transferjih";8150
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2010";"Dohodek po socialnih transferjih";8288
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2011";"Dohodek po socialnih transferjih";8429
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2012";"Dohodek po socialnih transferjih";8445
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2013";"Dohodek po socialnih transferjih";8258
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2014";"Dohodek po socialnih transferjih";8252
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2015";"Dohodek po socialnih transferjih";8325
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2016";"Dohodek po socialnih transferjih";8366
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2017";"Dohodek po socialnih transferjih";8577
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2018";"Dohodek po socialnih transferjih";9084
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Ženske";"2019";"Dohodek po socialnih transferjih";9928
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2008";"Dohodek po socialnih transferjih";8428
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2009";"Dohodek po socialnih transferjih";9244
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2010";"Dohodek po socialnih transferjih";9379
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2011";"Dohodek po socialnih transferjih";9585
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2012";"Dohodek po socialnih transferjih";9643
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2013";"Dohodek po socialnih transferjih";9470
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2014";"Dohodek po socialnih transferjih";9549
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2015";"Dohodek po socialnih transferjih";9684
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2016";"Dohodek po socialnih transferjih";9665
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2017";"Dohodek po socialnih transferjih";10007
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2018";"Dohodek po socialnih transferjih";10386
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Spol - SKUPAJ";"2019";"Dohodek po socialnih transferjih";11320
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2008";"Dohodek po socialnih transferjih";8255
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2009";"Dohodek po socialnih transferjih";9154
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2010";"Dohodek po socialnih transferjih";9320
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2011";"Dohodek po socialnih transferjih";9523
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2012";"Dohodek po socialnih transferjih";9650
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2013";"Dohodek po socialnih transferjih";9402
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2014";"Dohodek po socialnih transferjih";9607
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2015";"Dohodek po socialnih transferjih";9616
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2016";"Dohodek po socialnih transferjih";9650
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2017";"Dohodek po socialnih transferjih";9956
