"Priseljeni prebivalci po državi prejšnjega prebivališèa, državljanstvu in starostnih skupinah, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"STAROSTNE SKUPINE";Priseljeni prebivalci
"2012";"Tuji državljani";"....Hrvaška";"45-49";66
"2012";"Tuji državljani";"....Hrvaška";"50-54";74
"2012";"Tuji državljani";"....Hrvaška";"55-59";43
"2012";"Tuji državljani";"....Hrvaška";"60-64";25
"2012";"Tuji državljani";"....Hrvaška";"65 +";37
"2012";"Tuji državljani";"....Italija";"0-14";42
"2012";"Tuji državljani";"....Italija";"15-19";6
"2012";"Tuji državljani";"....Italija";"20-24";13
"2012";"Tuji državljani";"....Italija";"25-29";36
"2012";"Tuji državljani";"....Italija";"30-34";38
"2012";"Tuji državljani";"....Italija";"35-39";72
"2012";"Tuji državljani";"....Italija";"40-44";49
"2012";"Tuji državljani";"....Italija";"45-49";48
"2012";"Tuji državljani";"....Italija";"50-54";34
"2012";"Tuji državljani";"....Italija";"55-59";20
"2012";"Tuji državljani";"....Italija";"60-64";25
"2012";"Tuji državljani";"....Italija";"65 +";50
"2012";"Tuji državljani";"....Nemèija";"0-14";12
"2012";"Tuji državljani";"....Nemèija";"15-19";6
"2012";"Tuji državljani";"....Nemèija";"20-24";3
"2012";"Tuji državljani";"....Nemèija";"25-29";10
"2012";"Tuji državljani";"....Nemèija";"30-34";9
"2012";"Tuji državljani";"....Nemèija";"35-39";16
"2012";"Tuji državljani";"....Nemèija";"40-44";23
"2012";"Tuji državljani";"....Nemèija";"45-49";19
"2012";"Tuji državljani";"....Nemèija";"50-54";17
"2012";"Tuji državljani";"....Nemèija";"55-59";16
"2012";"Tuji državljani";"....Nemèija";"60-64";16
"2012";"Tuji državljani";"....Nemèija";"65 +";58
"2012";"Tuji državljani";"....Slovaška";"0-14";5
