"Razpoložljivi dohodek gospodinjstev (EUR), statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2010";"Dohodek po socialnih transferjih";8387
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2011";"Dohodek po socialnih transferjih";8262
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2012";"Dohodek po socialnih transferjih";8743
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2013";"Dohodek po socialnih transferjih";8717
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2014";"Dohodek po socialnih transferjih";8453
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2015";"Dohodek po socialnih transferjih";8722
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2016";"Dohodek po socialnih transferjih";8738
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2017";"Dohodek po socialnih transferjih";8996
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2018";"Dohodek po socialnih transferjih";8703
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2019";"Dohodek po socialnih transferjih";9725
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2008";"Dohodek po socialnih transferjih";8039
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2009";"Dohodek po socialnih transferjih";8374
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2010";"Dohodek po socialnih transferjih";8304
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2011";"Dohodek po socialnih transferjih";8505
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2012";"Dohodek po socialnih transferjih";8468
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2013";"Dohodek po socialnih transferjih";8336
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2014";"Dohodek po socialnih transferjih";8338
